,SaleDate,ParcelNumber,SaleAmount,Latitude,Longitude,RecordID_Int,Unit,UseCode,Style,Grade,YearBuilt,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,NumberOfStories,SquareFootageFinishedLiving,Address,FullAddress,Neighborhood,$/SqFt
13,2003-03-03,010019000,360000,38.050086,-78.50027999999998,15,,Single Family,2 Story,A,2002.0,3,1,2,0,2.00,2080.0,1890 WESTVIEW RD,1890 WESTVIEW RD,Venable,173.07692307692307
14,2008-08-07,010019000,549000,38.050086,-78.50027999999998,15,,Single Family,2 Story,A,2002.0,3,1,2,0,2.00,2080.0,1890 WESTVIEW RD,1890 WESTVIEW RD,Venable,263.9423076923077
15,2010-08-04,010020000,962500,38.049628000000006,-78.500349,16,,Single Family,2 Story,A,1951.0,5,2,4,0,2.00,4270.0,1888 WESTVIEW RD,1888 WESTVIEW RD,Venable,225.40983606557376
16,2001-01-24,010020000,275000,38.049628000000006,-78.500349,16,,Single Family,2 Story,A,1951.0,5,2,4,0,2.00,4270.0,1888 WESTVIEW RD,1888 WESTVIEW RD,Venable,64.40281030444964
17,2019-09-04,010022000,1300000,38.0491458,-78.4998557,18,,Single Family,1.5 Story,A -,1970.0,6,2,4,0,1.75,3720.0,1882 WESTVIEW RD,1882 WESTVIEW RD,Venable,349.4623655913978
18,2004-03-29,010023000,525000,38.0489287,-78.49972249999998,19,,Single Family,1.5 Story,B +,1950.0,3,1,2,0,1.75,2719.0,1880 WESTVIEW RD,1880 WESTVIEW RD,Venable,193.0856932695844
19,2005-10-08,010024000,580000,38.0487072,-78.499545,20,,Single Family,1.5 Story,B,1947.0,4,0,3,0,1.50,2366.0,1878 WESTVIEW RD,1878 WESTVIEW RD,Venable,245.1394759087067
20,2002-06-12,010024A00,125000,38.04849,-78.4994118,21,,Single Family,1.5 Story,A,2002.0,4,2,3,0,1.66,3783.0,1876 WESTVIEW RD,1876 WESTVIEW RD,Venable,33.042558815754695
21,2014-06-30,010024A00,940000,38.04849,-78.4994118,21,,Single Family,1.5 Story,A,2002.0,4,2,3,0,1.66,3783.0,1876 WESTVIEW RD,1876 WESTVIEW RD,Venable,248.48004229447528
22,2007-08-29,010024A00,895000,38.04849,-78.4994118,21,,Single Family,1.5 Story,A,2002.0,4,2,3,0,1.66,3783.0,1876 WESTVIEW RD,1876 WESTVIEW RD,Venable,236.5847211208036
23,2007-06-19,010026000,889000,38.048265,-78.499163,23,,Single Family,1 Story,B,1951.0,4,0,3,0,1.00,2894.0,1852 WESTVIEW RD,1852 WESTVIEW RD,Venable,307.18728403593644
24,2008-08-04,010027000,483000,38.0480588,-78.49958939999998,24,,Single Family,1 Sty No Bsmt,B -,1953.0,3,0,3,0,1.00,2177.0,1863 FIELD RD,1863 FIELD RD,Venable,221.86495176848874
25,2017-12-08,010027000,695000,38.0480588,-78.49958939999998,24,,Single Family,1 Sty No Bsmt,B -,1953.0,3,0,3,0,1.00,2177.0,1863 FIELD RD,1863 FIELD RD,Venable,319.24666972898484
26,2017-12-08,010027000,695000,38.0480588,-78.49958939999998,24,,Single Family,1 Sty No Bsmt,B -,1953.0,3,0,3,0,1.00,2177.0,1863 FIELD RD,1863 FIELD RD,Venable,319.24666972898484
27,2012-10-10,010028000,469000,38.0482395,-78.49976690000001,25,,Single Family,1 Story,A,1953.0,3,1,2,0,1.00,2625.0,1865 FIELD RD,1865 FIELD RD,Venable,178.66666666666666
28,2002-03-01,010030000,275000,38.0487321,-78.50021079999998,27,,Single Family,1 Story,B,1953.0,2,0,2,0,1.00,2370.0,1869 FIELD RD,1869 FIELD RD,Venable,116.03375527426161
29,2013-06-07,010030100,473000,38.0489128,-78.50038839999998,28,,Single Family,1 Story,B,1954.0,3,0,2,0,1.00,1634.0,1871 FIELD RD,1871 FIELD RD,Venable,289.4736842105263
30,2003-06-06,010031000,425000,38.04914309999999,-78.5006547,29,,Single Family,1 Story,B,1952.0,4,1,2,0,1.00,2584.0,1873 FIELD RD,1873 FIELD RD,Venable,164.47368421052633
31,2008-12-15,010031000,545000,38.04914309999999,-78.5006547,29,,Single Family,1 Story,B,1952.0,4,1,2,0,1.00,2584.0,1873 FIELD RD,1873 FIELD RD,Venable,210.91331269349845
32,2016-10-18,010033000,421000,38.049213200000004,-78.50136490000001,31,,Single Family-1 Conversion,1 Story,B,1954.0,4,No dat,3,0,1.00,1368.0,1884 FIELD RD,1884 FIELD RD,Venable,307.7485380116959
33,2019-02-15,010034000,470000,38.0490777,-78.5012318,32,,Single Family,1 Story,C +,1952.0,3,0,2,0,1.00,1622.0,1882 FIELD RD,1882 FIELD RD,Venable,289.7657213316893
34,2018-11-15,010034000,430000,38.0490777,-78.5012318,32,,Single Family,1 Story,C +,1952.0,3,0,2,0,1.00,1622.0,1882 FIELD RD,1882 FIELD RD,Venable,265.10480887792846
35,2010-11-01,010036000,389000,38.0486347,-78.50087669999998,34,,Single Family,1 Story,B,1958.0,4,1,3,0,1.00,3229.0,1872 FIELD RD,1872 FIELD RD,Venable,120.47073397336636
36,2014-03-21,010036000,695940,38.0486347,-78.50087669999998,34,,Single Family,1 Story,B,1958.0,4,1,3,0,1.00,3229.0,1872 FIELD RD,1872 FIELD RD,Venable,215.5280272530195
37,2001-07-02,010037000,345000,38.0483724,-78.50069909999998,35,,Single Family,1.5 Story,B,1953.0,3,1,3,0,1.50,3125.0,1870 FIELD RD,1870 FIELD RD,Venable,110.4
38,2016-05-05,010037000,740000,38.0483724,-78.50069909999998,35,,Single Family,1.5 Story,B,1953.0,3,1,3,0,1.50,3125.0,1870 FIELD RD,1870 FIELD RD,Venable,236.8
39,2018-04-09,010038000,685000,38.048150899999996,-78.50052149999998,36,,Single Family,Split-Level (Avg),B++,1952.0,4,1,4,0,2.0,3480.0,1868 FIELD RD,1868 FIELD RD,Venable,196.83908045977012
40,2019-03-29,010038000,1375000,38.048150899999996,-78.50052149999998,36,,Single Family,Split-Level (Avg),B++,1952.0,4,1,4,0,2.0,3480.0,1868 FIELD RD,1868 FIELD RD,Venable,395.11494252873564
41,2007-07-13,010039000,520000,38.0479206,-78.5002552,37,,Single Family,1 Story,B,1953.0,4,0,3,0,1.00,1810.0,1866 FIELD RD,1866 FIELD RD,Venable,287.292817679558
42,2007-05-25,010039000,520000,38.0479206,-78.5002552,37,,Single Family,1 Story,B,1953.0,4,0,3,0,1.00,1810.0,1866 FIELD RD,1866 FIELD RD,Venable,287.292817679558
43,2004-07-28,010040000,420000,38.0476991,-78.50007769999998,38,,Single Family,1 Story,B,1953.0,4,0,3,0,1.00,1596.0,1864 FIELD RD,1864 FIELD RD,Venable,263.1578947368421
44,2004-03-03,010041000,530000,38.04779990000001,-78.50109859999998,39,,Single Family,1 Story,B++,2005.0,3,1,3,0,1.00,3992.0,906 FENDALL TER,906 FENDALL TER,Venable,132.76553106212424
45,2019-06-06,010041000,1350000,38.04779990000001,-78.50109859999998,39,,Single Family,1 Story,B++,2005.0,3,1,3,0,1.00,3992.0,906 FENDALL TER,906 FENDALL TER,Venable,338.1763527054108
46,2018-07-17,010043000,660000,38.047481,-78.500629,41,,Single Family,1 Story,B +,1954.0,4,0,3,0,1.00,1231.0,1861 WINSTON RD,1861 WINSTON RD,Venable,536.1494719740049
47,2015-05-06,010043000,590000,38.047481,-78.500629,41,,Single Family,1 Story,B +,1954.0,4,0,3,0,1.00,1231.0,1861 WINSTON RD,1861 WINSTON RD,Venable,479.285134037368
48,2011-05-25,010043000,315000,38.047481,-78.500629,41,,Single Family,1 Story,B +,1954.0,4,0,3,0,1.00,1231.0,1861 WINSTON RD,1861 WINSTON RD,Venable,255.88952071486597
49,2020-01-07,010043000,680000,38.047481,-78.500629,41,,Single Family,1 Story,B +,1954.0,4,0,3,0,1.00,1231.0,1861 WINSTON RD,1861 WINSTON RD,Venable,552.3964256701869
50,2003-11-18,010044000,575000,38.04736870000001,-78.50127619999998,42,,Single Family,2 Story,A,1945.0,4,1,3,0,2.00,3636.0,1863 WINSTON RD,1863 WINSTON RD,Venable,158.14081408140814
51,2008-07-30,010045000,745000,38.0475174,-78.5015425,43,,Single Family,2 Story,B,1936.0,5,1,2,0,2.00,2802.0,1867 WINSTON RD,1867 WINSTON RD,Venable,265.88151320485366
52,2006-11-29,010045000,725000,38.0475174,-78.5015425,43,,Single Family,2 Story,B,1936.0,5,1,2,0,2.00,2802.0,1867 WINSTON RD,1867 WINSTON RD,Venable,258.74375446109923
53,2014-02-07,010046000,699000,38.0477739,-78.5020751,44,,Single Family,2 Story,A,1939.0,3,1,3,0,2.00,2260.0,901 FENDALL TER,901 FENDALL TER,Venable,309.2920353982301
54,2016-08-25,010047000,579000,38.0481644,-78.50189759999998,45,,Single Family,1 Story,B,1946.0,4,1,3,1,1.00,2137.0,905 FENDALL TER,905 FENDALL TER,Venable,270.94057089377634
55,2007-08-10,020003000,948000,38.0489946,-78.49626010000001,52,,Single Family,2 Story,A -,1932.0,3,1,3,0,2.00,2542.0,1910 BARRACKS RD,1910 BARRACKS RD,Venable,372.9346970889064
56,2003-06-03,020003000,500000,38.0489946,-78.49626010000001,52,,Single Family,2 Story,A -,1932.0,3,1,3,0,2.00,2542.0,1910 BARRACKS RD,1910 BARRACKS RD,Venable,196.6955153422502
57,2005-05-06,020004000,377500,38.0487374,-78.4959272,54,,Single Family,1 Story,B,1954.0,3,0,3,0,1.00,1370.0,120 BUCKINGHAM RD,120 BUCKINGHAM RD,Venable,275.54744525547443
58,2004-02-11,020004000,275000,38.0487374,-78.4959272,54,,Single Family,1 Story,B,1954.0,3,0,3,0,1.00,1370.0,120 BUCKINGHAM RD,120 BUCKINGHAM RD,Venable,200.72992700729927
59,2009-04-23,020006000,600000,38.047924200000004,-78.4951281,56,,Single Family,1 Story,B,1956.0,3,0,3,0,1.00,2207.0,108 BUCKINGHAM RD,108 BUCKINGHAM RD,Venable,271.8622564567286
60,2003-11-18,020006000,310000,38.047924200000004,-78.4951281,56,,Single Family,1 Story,B,1956.0,3,0,3,0,1.00,2207.0,108 BUCKINGHAM RD,108 BUCKINGHAM RD,Venable,140.46216583597644
61,2016-10-05,020006100,355000,38.047981799999995,-78.49550550000001,57,,Single Family,Split-Level,B -,1956.0,5,0,4,0,2.00,2392.0,110 BUCKINGHAM RD,110 BUCKINGHAM RD,Venable,148.41137123745818
62,2007-04-17,020006100,362500,38.047981799999995,-78.49550550000001,57,,Single Family,Split-Level,B -,1956.0,5,0,4,0,2.00,2392.0,110 BUCKINGHAM RD,110 BUCKINGHAM RD,Venable,151.54682274247492
63,2004-05-03,020006100,300000,38.047981799999995,-78.49550550000001,57,,Single Family,Split-Level,B -,1956.0,5,0,4,0,2.00,2392.0,110 BUCKINGHAM RD,110 BUCKINGHAM RD,Venable,125.41806020066889
64,2016-12-05,020006200,391000,38.0480941,-78.49581620000001,58,,Single Family,Split-Level,C +,1957.0,4,0,3,0,2.00,2400.0,114 BUCKINGHAM RD,114 BUCKINGHAM RD,Venable,162.91666666666666
65,2012-11-29,020006300,386375,38.048374,-78.4961713,59,,Single Family,1.5 Story,B,1954.0,3,1,2,0,1.66,2070.0,118 BUCKINGHAM RD,118 BUCKINGHAM RD,Venable,186.65458937198068
66,2015-06-30,020006300,412500,38.048374,-78.4961713,59,,Single Family,1.5 Story,B,1954.0,3,1,2,0,1.66,2070.0,118 BUCKINGHAM RD,118 BUCKINGHAM RD,Venable,199.2753623188406
67,2013-01-24,020007000,335000,38.0483064,-78.49466199999998,60,,Single Family-1 Conversion,1.5 Sty (Avg),B +,1956.0,3,0,3,0,1.50,2571.0,104 BUCKINGHAM RD,104 BUCKINGHAM RD,Venable,130.29949436017114
68,2001-09-11,020008000,180000,38.0482393,-78.4943957,61,,Single Family-1 Conversion,1 Story,B,1953.0,5,0,2,0,1.00,1035.0,1820 BARRACKS RD,1820 BARRACKS RD,Venable,173.91304347826087
69,2004-08-11,020009000,236000,38.0481358,-78.49417369999998,62,,Single Family,1 Story,B,1957.0,3,0,3,0,1.00,1171.0,1812 BARRACKS RD,1812 BARRACKS RD,Venable,201.53714773697695
70,2005-03-02,020010000,430000,38.0479669,-78.4945288,63,,Single Family-2 Conversion,1 Story,C,1951.0,6,0,4,0,1.00,1728.0,116 HOWARD DR,116 HOWARD DR,Venable,248.84259259259258
71,2019-08-19,020010000,373450,38.0479669,-78.4945288,63,,Single Family-2 Conversion,1 Story,C,1951.0,6,0,4,0,1.00,1728.0,116 HOWARD DR,116 HOWARD DR,Venable,216.11689814814815
72,2016-12-20,020010000,155000,38.0479669,-78.4945288,63,,Single Family-2 Conversion,1 Story,C,1951.0,6,0,4,0,1.00,1728.0,116 HOWARD DR,116 HOWARD DR,Venable,89.69907407407408
73,2016-07-28,020012000,379000,38.04750070000001,-78.49435129999998,64,,Single Family-1 Conversion,1 Story,C,1950.0,4,0,3,0,1.00,1435.0,112 HOWARD DR,112 HOWARD DR,Venable,264.11149825783974
74,2005-12-14,020012000,350000,38.04750070000001,-78.49435129999998,64,,Single Family-1 Conversion,1 Story,C,1950.0,4,0,3,0,1.00,1435.0,112 HOWARD DR,112 HOWARD DR,Venable,243.90243902439025
75,2006-06-12,020012000,350000,38.04750070000001,-78.49435129999998,64,,Single Family-1 Conversion,1 Story,C,1950.0,4,0,3,0,1.00,1435.0,112 HOWARD DR,112 HOWARD DR,Venable,243.90243902439025
76,2014-05-23,020013000,265000,38.0476375,-78.49408489999998,65,,Single Family-1 Conversion,1 Story,B,1952.0,5,1,2,0,1.00,1296.0,110 HOWARD DR,110 HOWARD DR,Venable,204.47530864197532
77,2019-01-25,020015000,252500,38.0477656,-78.4937298,67,,Single Family-1 Conversion,1 Story,C +,1952.0,4,0,3,0,1.00,1527.0,1806 BARRACKS RD,1806 BARRACKS RD,Venable,165.3569089718402
78,2019-10-17,020015000,550000,38.0477656,-78.4937298,67,,Single Family-1 Conversion,1 Story,C +,1952.0,4,0,3,0,1.00,1527.0,1806 BARRACKS RD,1806 BARRACKS RD,Venable,360.1833660772757
79,2010-06-03,020016100,350000,38.047372100000004,-78.49346340000001,69,,Single Family,2 Story,B +,1979.0,3,1,2,0,2.00,1755.0,1107 RUGBY RD,1107 RUGBY RD,Venable,199.43019943019942
80,2016-06-30,020016100,478000,38.047372100000004,-78.49346340000001,69,,Single Family,2 Story,B +,1979.0,3,1,2,0,2.00,1755.0,1107 RUGBY RD,1107 RUGBY RD,Venable,272.36467236467234
81,2015-01-28,020016200,415000,38.0475471,-78.49336319999998,70,,Single Family,Contemporary,B,2014.0,3,1,2,No dat,2,2074.0,1109 RUGBY RD,1109 RUGBY RD,Venable,200.09643201542912
82,2013-10-16,020016200,83000,38.0475471,-78.49336319999998,70,,Single Family,Contemporary,B,2014.0,3,1,2,No dat,2,2074.0,1109 RUGBY RD,1109 RUGBY RD,Venable,40.01928640308582
83,2001-08-31,020017000,339000,38.047140500000005,-78.49359659999998,71,,Single Family,1.5 Story,A,1951.0,4,0,2,0,1.50,1729.0,1105 RUGBY RD,1105 RUGBY RD,Venable,196.0670908039329
84,2000-02-29,020017000,208000,38.047140500000005,-78.49359659999998,71,,Single Family,1.5 Story,A,1951.0,4,0,2,0,1.50,1729.0,1105 RUGBY RD,1105 RUGBY RD,Venable,120.30075187969925
85,2020-05-13,020019000,1975000,38.0468047,-78.4937076,72,,Single Family,2 Sty Superior,A,1925.0,4,1,3,0,2.00,4356.0,1101 RUGBY RD,1101 RUGBY RD,Venable,453.3976124885216
86,2003-06-13,020019000,810000,38.0468047,-78.4937076,72,,Single Family,2 Sty Superior,A,1925.0,4,1,3,0,2.00,4356.0,1101 RUGBY RD,1101 RUGBY RD,Venable,185.9504132231405
87,2018-08-10,020019100,767500,38.0473682,-78.49466199999998,73,,Single Family,Contemporary,B +,1990.0,4,0,3,0,2.00,2858.0,947 ROSSER LN,947 ROSSER LN,Venable,268.5444366689993
88,2011-12-01,020019100,640000,38.0473682,-78.49466199999998,73,,Single Family,Contemporary,B +,1990.0,4,0,3,0,2.00,2858.0,947 ROSSER LN,947 ROSSER LN,Venable,223.93282015395383
89,2003-07-16,020020000,377000,38.04713220000001,-78.49475079999998,74,,Single Family,1 Story,B,1952.0,5,1,3,0,1.00,3932.0,945 ROSSER LN,945 ROSSER LN,Venable,95.87995930824007
90,2001-03-06,020023000,768000,38.046525700000004,-78.49583840000001,77,,Single Family,2 Story,A,1953.0,4,2,5,0,2.00,3965.0,1801 WESTVIEW RD,1801 WESTVIEW RD,Venable,193.69482976040354
91,2002-03-01,020023100,740000,38.0466599,-78.49637109999998,78,,Single Family,1.5 Story,A,1964.0,3,2,3,1,1.50,4328.0,1829 WESTVIEW RD,1829 WESTVIEW RD,Venable,170.9796672828096
92,2002-06-10,020023A00,2967,38.0463092,-78.49550550000001,79,,Single Family,1.5 Story,B +,2000.0,3,1,2,1,1.5,2424.0,921 ROSSER LN,921 ROSSER LN,Venable,1.224009900990099
93,2013-02-12,020023A00,650000,38.0463092,-78.49550550000001,79,,Single Family,1.5 Story,B +,2000.0,3,1,2,1,1.5,2424.0,921 ROSSER LN,921 ROSSER LN,Venable,268.15181518151815
94,2016-10-07,020023A00,851000,38.0463092,-78.49550550000001,79,,Single Family,1.5 Story,B +,2000.0,3,1,2,1,1.5,2424.0,921 ROSSER LN,921 ROSSER LN,Venable,351.07260726072604
95,2017-02-23,020023A00,848000,38.0463092,-78.49550550000001,79,,Single Family,1.5 Story,B +,2000.0,3,1,2,1,1.5,2424.0,921 ROSSER LN,921 ROSSER LN,Venable,349.83498349834986
96,2010-09-02,020025000,1100000,38.0476626,-78.49743649999998,81,,Single Family,2 Story,A -,1939.0,3,1,3,0,2.00,2655.0,1839 WESTVIEW RD,1839 WESTVIEW RD,Venable,414.3126177024482
97,2015-07-27,020025000,735000,38.0476626,-78.49743649999998,81,,Single Family,2 Story,A -,1939.0,3,1,3,0,2.00,2655.0,1839 WESTVIEW RD,1839 WESTVIEW RD,Venable,276.8361581920904
98,2008-05-27,020026000,1000000,38.0480679,-78.49823549999998,83,,Single Family,2 Story,A,1940.0,3,1,2,0,2.00,2723.0,1861 WESTVIEW RD,1861 WESTVIEW RD,Venable,367.2420124862284
99,2002-07-23,020028000,385000,38.047695000000004,-78.4985906,85,,Single Family,1 Story,B +,1951.0,4,0,4,0,1.00,2518.0,1844 WESTVIEW RD,1844 WESTVIEW RD,Venable,152.8991262907069
100,2010-12-29,020028000,675000,38.047695000000004,-78.4985906,85,,Single Family,1 Story,B +,1951.0,4,0,4,0,1.00,2518.0,1844 WESTVIEW RD,1844 WESTVIEW RD,Venable,268.0698967434472
101,2002-03-04,020029000,425000,38.0473693,-78.4983908,86,,Single Family,1.5 Story,B +,1951.0,5,2,3,0,1.50,3454.0,1834 WESTVIEW RD,1834 WESTVIEW RD,Venable,123.04574406485234
102,2015-06-12,020029000,776795,38.0473693,-78.4983908,86,,Single Family,1.5 Story,B +,1951.0,5,2,3,0,1.50,3454.0,1834 WESTVIEW RD,1834 WESTVIEW RD,Venable,224.89722061378112
103,2002-05-28,020029000,456000,38.0473693,-78.4983908,86,,Single Family,1.5 Story,B +,1951.0,5,2,3,0,1.50,3454.0,1834 WESTVIEW RD,1834 WESTVIEW RD,Venable,132.02084539664156
104,2015-06-12,020031000,155000,38.0474395,-78.49910109999998,87,,Single Family,2 Story,A,1953.0,5,0,7,0,2.00,4568.0,1859 FIELD RD,1859 FIELD RD,Venable,33.93169877408056
105,2010-08-18,020038000,635000,38.0470258,-78.4994562,94,,Single Family,2 Story,B,1953.0,5,0,4,0,2.00,2517.0,1858 FIELD RD,1858 FIELD RD,Venable,252.2844656336909
106,2019-12-18,020040000,308000,38.0465261,-78.49976690000001,96,,Single Family,1 Story,B,1947.0,2,0,1,0,1.00,950.0,1847 WINSTON RD,1847 WINSTON RD,Venable,324.2105263157895
107,2016-05-31,020041000,650000,38.046377500000006,-78.49950059999998,97,,Single Family,1.5 Story,B +,1952.0,4,1,3,0,1.50,1591.0,1843 WINSTON RD,1843 WINSTON RD,Venable,408.5480829666876
108,2018-04-02,020042000,593800,38.0469091,-78.49910109999998,98,,Single Family,Split-Level (Avg),B,1952.0,4,0,2,0,1.0,1574.0,1856 FIELD RD,1856 FIELD RD,Venable,377.2554002541296
109,2010-07-09,020042000,550000,38.0469091,-78.49910109999998,98,,Single Family,Split-Level (Avg),B,1952.0,4,0,2,0,1.0,1574.0,1856 FIELD RD,1856 FIELD RD,Venable,349.428208386277
110,2020-04-24,020042000,814000,38.0469091,-78.49910109999998,98,,Single Family,Split-Level (Avg),B,1952.0,4,0,2,0,1.0,1574.0,1856 FIELD RD,1856 FIELD RD,Venable,517.15374841169
111,2008-06-16,020044000,425000,38.0468667,-78.49825770000002,100,,Single Family,1 Story,B,1952.0,3,1,1,0,1.00,1319.0,919 OLD FARM RD,919 OLD FARM RD,Venable,322.21379833206976
112,2006-05-01,020044000,408400,38.0468667,-78.49825770000002,100,,Single Family,1 Story,B,1952.0,3,1,1,0,1.00,1319.0,919 OLD FARM RD,919 OLD FARM RD,Venable,309.62850644427596
113,2002-08-09,020046000,402000,38.04649819999999,-78.49865720000001,102,,Single Family,1 Story,B,1954.0,3,0,3,0,1.00,1948.0,911 OLD FARM RD,911 OLD FARM RD,Venable,206.36550308008214
114,2000-12-11,020046000,264000,38.04649819999999,-78.49865720000001,102,,Single Family,1 Story,B,1954.0,3,0,3,0,1.00,1948.0,911 OLD FARM RD,911 OLD FARM RD,Venable,135.52361396303903
115,2000-08-15,020047000,349900,38.046270899999996,-78.4988347,103,,Single Family,1 Story,B,1960.0,5,0,3,0,1.00,2180.0,907 OLD FARM RD,907 OLD FARM RD,Venable,160.5045871559633
116,2017-07-11,020050000,925000,38.046101,-78.49814669999998,106,,Single Family,1.5 Story,B +,1954.0,4,0,3,0,1.75,3402.0,910 OLD FARM RD,910 OLD FARM RD,Venable,271.8988830099941
117,2015-04-21,020051000,515000,38.04630119999999,-78.49790259999999,108,,Single Family,1 Story,A -,1951.0,3,1,2,0,1.00,2590.0,912 OLD FARM RD,912 OLD FARM RD,Venable,198.84169884169884
118,2011-01-18,020051000,418000,38.04630119999999,-78.49790259999999,108,,Single Family,1 Story,A -,1951.0,3,1,2,0,1.00,2590.0,912 OLD FARM RD,912 OLD FARM RD,Venable,161.3899613899614
119,2004-05-20,020052000,450000,38.0464739,-78.4977916,109,,Single Family,1 Story,B,1954.0,4,0,2,0,1.00,2044.0,916 OLD FARM RD,916 OLD FARM RD,Venable,220.15655577299412
120,2012-11-21,020053000,200000,38.04671930000001,-78.4975918,111,,Single Family,1.5 Story,B,1959.0,3,0,3,0,1.50,2622.0,1832 WESTVIEW RD,1832 WESTVIEW RD,Venable,76.27765064836004
121,2005-01-18,020054100,420000,38.0454489,-78.4979469,113,,Single Family,1 Story,B,1968.0,3,1,2,0,1.00,1325.0,1821 WINSTON RD,1821 WINSTON RD,Venable,316.9811320754717
122,2003-10-31,020054200,525000,38.0456762,-78.4977694,114,,Single Family,1.5 Story,B,1979.0,3,1,3,0,1.75,2098.0,905 COTTAGE LN,905 COTTAGE LN,Venable,250.23832221163013
123,2010-07-13,020054200,650000,38.0456762,-78.4977694,114,,Single Family,1.5 Story,B,1979.0,3,1,3,0,1.75,2098.0,905 COTTAGE LN,905 COTTAGE LN,Venable,309.8188751191611
124,2013-05-22,020054300,635000,38.0458626,-78.4975918,115,,Single Family,2 Story,B,1890.0,3,1,3,0,2.00,3105.0,907 COTTAGE LN,907 COTTAGE LN,Venable,204.50885668276973
125,2004-08-23,020054500,20963,38.046253,-78.49741429999999,117,,Single Family,2 Story,B,2010.0,4,1,4,0,2.00,2865.0,911 COTTAGE LN,911 COTTAGE LN,Venable,7.316928446771379
126,2013-05-24,020054500,960000,38.046253,-78.49741429999999,117,,Single Family,2 Story,B,2010.0,4,1,4,0,2.00,2865.0,911 COTTAGE LN,911 COTTAGE LN,Venable,335.0785340314136
127,2009-05-14,020054500,210000,38.046253,-78.49741429999999,117,,Single Family,2 Story,B,2010.0,4,1,4,0,2.00,2865.0,911 COTTAGE LN,911 COTTAGE LN,Venable,73.29842931937172
128,2014-10-22,020054600,655000,38.046480200000005,-78.4972367,118,,Single Family,1.5 Story,B,1975.0,3,1,3,0,1.50,2016.0,915 COTTAGE LN,915 COTTAGE LN,Venable,324.9007936507937
129,2014-07-16,020055101,530000,38.0462732,-78.4967928,120,,Single Family,2 Story,B,1975.0,4,1,2,0,2.00,1954.0,1828 WESTVIEW RD,1828 WESTVIEW RD,Venable,271.2384851586489
